All-Genes	Pathways of gene
IME1	
IME2	
IME4	
IMG1	
IMG2	
IMH1	
IML1	
IML2	
IML3	
IMO32	
IMP1	
IMP2	
IMP2'	
IMP3	
IMP4	
IMT1	
IMT2	
IMT3	
IMT4	
INA1	
INA17	
INA22	
INH1	
INM1	<i>myo</i>-inositol biosynthesis
INM2	<i>myo</i>-inositol biosynthesis
INN1	
INO1	<i>myo</i>-inositol biosynthesis
INO2	
INO4	
INO80	
INP1	
INP2	
INP51	phosphatidylinositol phosphate biosynthesis
INP52	D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis // phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
INP53	3-phosphoinositide biosynthesis // phosphatidylinositol phosphate biosynthesis // D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis
INP54	phosphatidylinositol phosphate biosynthesis // D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis
IOC2	
IOC3	
IOC4	
IPA1	
IPI1	
IPI3	
IPK1	inositol phosphate biosynthesis // inositol diphosphates biosynthesis // 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)
IPL1	
IPP1	
IPT1	sphingolipid biosynthesis (yeast)
IQG1	
IRA1	
IRA2	
IRC10	
IRC13	
IRC15	
IRC18	
IRC19	
IRC20	
IRC21	
IRC22	
IRC23	
IRC24	
IRC25	
IRC3	
IRC4	
IRC5	
IRC6	
IRC7	superpathway of L-cysteine biosynthesis (fungi) // superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // homocysteine and cysteine interconversion // L-cysteine degradation II // glutathione-mediated detoxification II // glutathione-mediated detoxification I
IRC8	
IRE1	
IRR1	
IRS4	
IRT1	
ISA1	
ISA2	
ISC1	sphingolipid recycling and degradation (yeast)
ISC10	
ISD11	tRNA-uridine 2-thiolation (yeast mitochondria) // L-alanine biosynthesis III // tRNA-uridine 2-thiolation (cytoplasmic) // iron-sulfur cluster biosynthesis
ISF1	
ISM1	tRNA charging
ISN1	UTP and CTP dephosphorylation I // periplasmic NAD degradation
ISR1	
IST1	
IST2	
IST3	
ISU1	iron-sulfur cluster biosynthesis // lipoate biosynthesis and incorporation I
ISU2	iron-sulfur cluster biosynthesis
ISW1	
ISW2	
ISY1	
ITC1	
ITR1	
ITR2	
ITS1-1	
ITS1-2	
ITS2-1	
ITS2-2	
ITT1	
IVY1	
IWR1	
IXR1	
IZH1	
IZH2	
IZH3	
IZH4	
JAC1	iron-sulfur cluster biosynthesis
JEM1	
JEN1	
JHD1	
JHD2	
JID1	
JIP3	
JIP4	
JIP5	
JJJ1	
JJJ2	
JJJ3	
JLP1	
JLP2	
JNM1	
JSN1	
KAE1	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
KAP104	
KAP114	
KAP120	
KAP122	
KAP123	
KAP95	
KAR1	
KAR2	
KAR3	
KAR4	
KAR5	
KAR9	
KCC4	
KCH1	
KCS1	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3) // inositol phosphate biosynthesis // inositol diphosphates biosynthesis
KDX1	
KEG1	
KEI1	sphingolipid biosynthesis (yeast)
KEL1	
KEL2	
KEL3	
KES1	
KEX1	
KEX2	
KGD1	TCA cycle II (plants and fungi) // 2-ketoglutarate dehydrogenase complex
KGD2	TCA cycle II (plants and fungi) // 2-ketoglutarate dehydrogenase complex
KHA1	
KIC1	
KIN1	
KIN2	
KIN28	
KIN3	
KIN4	
KIN82	
KIP1	
KIP2	
KIP3	
KKQ8	
KNH1	
KNS1	
KOG1	
KRE1	
KRE2	protein <I>O</i>-mannosylation I (yeast)
KRE28	
KRE29	
KRE33	
KRE5	
KRE6	
KRE9	
KRI1	
KRR1	
KRS1	tRNA charging
KSH1	
KSP1	
KSS1	
KTI11	diphthamide biosynthesis
KTI12	
KTR1	protein <I>O</i>-mannosylation I (yeast)
KTR2	protein <i>N</i>-glycosylation (eukaryotic) initial steps
KTR3	protein <I>O</i>-mannosylation I (yeast)
KTR4	
KTR5	protein <i>N</i>-glycosylation (eukaryotic) initial steps
KTR7	protein <i>N</i>-glycosylation (eukaryotic) initial steps
KXD1	
LAA1	
LAC1	sphingolipid biosynthesis (yeast)
LAG1	sphingolipid biosynthesis (yeast)
LAG2	
LAM1	
LAM4	
LAM5	
LAM6	
LAP2	
LAP3	
LAS1	
LAS17	
LAS21	
LAT1	pyruvate decarboxylation to acetyl CoA
LCB1	sphingolipid biosynthesis (yeast)
LCB2	sphingolipid biosynthesis (yeast)
LCB3	sphingolipid recycling and degradation (yeast)
LCB4	sphingolipid recycling and degradation (yeast)
LCB5	sphingolipid recycling and degradation (yeast)
LCD1	
LCL1	
LCL2	
LCL3	
LCP5	
LDB16	
LDB17	
LDB18	
LDB19	
LDB7	
LDH1	triacylglycerol degradation
LDO16	
LDO45	
LDS1	
LDS2	
LEA1	
LEE1	
LEM3	
LEO1	
LEU1	superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis
LEU2	superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis
LEU3	
LEU4	superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis
LEU5	
LEU9	superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis
LGE1	
LHP1	
LHS1	
LIA1	hypusine biosynthesis
LIF1	
LIH1	
LIN1	
LIP1	sphingolipid biosynthesis (yeast)
LIP2	lipoate biosynthesis and incorporation IV (yeast) // lipoate biosynthesis and incorporation I
LIP5	lipoate biosynthesis and incorporation IV (yeast) // lipoate biosynthesis and incorporation I
LMO1	
LNP1	
LOA1	phosphatidylglycerol biosynthesis II (non-plastidic) // CDP-diacylglycerol biosynthesis I // triacylglycerol biosynthesis // phosphatidate biosynthesis II (the glycerol-3-phosphate pathway) // phosphatidate biosynthesis I (the dihydroxyacetone pathway) // superpathway phosphatidate biosynthesis (yeast) // phospholipid remodeling (phosphatidate)
LOC1	
LOG1	
LOH1	
LOS1	
LOT5	
LOT6	
LPD1	folate interconversions // folate transformations I // TCA cycle II (plants and fungi) // pyruvate decarboxylation to acetyl CoA // glycine cleavage // glycine biosynthesis II // 2-ketoglutarate dehydrogenase complex
LPL1	
LPP1	triacylglycerol biosynthesis
LPX1	sterol:steryl ester interconversion // triacylglycerol degradation
LRE1	
LRG1	
LRO1	phospholipid remodeling (phosphatidylcholine) // triacylglycerol biosynthesis
LRP1	
LRS4	
LSB1	
LSB3	
LSB5	
LSB6	D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis // phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
LSC1	TCA cycle II (plants and fungi)
LSC2	TCA cycle II (plants and fungi)
LSG1	
LSM1	
LSM12	
LSM2	
LSM3	
LSM4	
LSM5	
LSM6	
LSM7	
LSM8	
LSO1	
LSO2	
LSP1	
LSR1	
LST4	
LST7	
LST8	
LTE1	
LTO1	
LTP1	
LTV1	
LUC7	
LUG1	protein ubiquitination
LYP1	
LYS1	L-lysine biosynthesis IV
LYS12	L-lysine biosynthesis IV
LYS14	
LYS2	L-lysine biosynthesis IV
LYS20	L-lysine biosynthesis IV
LYS21	L-lysine biosynthesis IV
LYS4	L-lysine biosynthesis IV
LYS5	
LYS9	L-lysine biosynthesis IV
MAC1	
MAD1	
MAD2	
MAD3	
MAE1	glyoxylate cycle // malate/L-aspartate shuttle pathway // TCA cycle II (plants and fungi) // gluconeogenesis // L-malate degradation II // chitin deacetylation
MAF1	
MAG1	
MAG2	
MAK10	Ac/N-end rule pathway
MAK11	
MAK16	
MAK21	
MAK3	Ac/N-end rule pathway
MAK31	Ac/N-end rule pathway
MAK32	
MAK5	
MAL11	
MAL12	
MAL13	
MAL31	
MAL32	
MAL33	
MAM1	
MAM3	
MAM33	
MAN2	
MAP1	Ac/N-end rule pathway
MAP2	Ac/N-end rule pathway
MAS1	
MAS2	
MATALPHA1	
MATALPHA2	
MAY24	
MBA1	
MBB1	
MBF1	
MBP1	
MBR1	
MCA1	
MCD1	
MCD4	
MCH1	
MCH2	
MCH4	
MCH5	
MCK1	
MCM1	
MCM10	
MCM16	
MCM2	
MCM21	
MCM22	
MCM3	
MCM4	
MCM5	
MCM6	
MCM7	
MCO10	
MCO12	
MCO14	
MCO32	
MCO6	
MCO76	
MCO8	
MCP1	
MCP2	
MCR1	
MCT1	fatty acid biosynthesis initiation (mitochondria)
MCX1	
MCY1	
MDE1	methionine salvage pathway
MDG1	
MDH1	malate/L-aspartate shuttle pathway // TCA cycle II (plants and fungi)
MDH2	gluconeogenesis // glyoxylate cycle // malate/L-aspartate shuttle pathway // TCA cycle II (plants and fungi)
MDH3	glyoxylate cycle // malate/L-aspartate shuttle pathway // TCA cycle II (plants and fungi)
MDJ1	
MDJ2	
MDL1	
MDL2	
MDM1	
MDM10	
MDM12	
MDM20	Ac/N-end rule pathway
MDM30	protein ubiquitination
MDM31	
MDM32	
MDM34	
MDM35	
MDM36	
MDM38	
MDR1	
MDS3	
MDV1	
MDY2	
MEC1	
MEC3	
MED1	
MED11	
MED2	
MED4	
MED6	
MED7	
MED8	
MEF1	
MEF2	
MEH1	
MEI4	
MEI5	
MEK1	
MEO1	
MEP1	
MEP2	
MEP3	
MER1	
MES1	tRNA charging
MET1	siroheme biosynthesis
MET10	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // assimilatory sulfate reduction I
MET12	folate transformations I // folate interconversions
MET13	folate transformations I // folate interconversions
MET14	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // assimilatory sulfate reduction I // sulfate activation for sulfonation
MET16	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // assimilatory sulfate reduction I
MET17	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // superpathway of L-cysteine biosynthesis (fungi) // L-methionine biosynthesis III // L-homocysteine biosynthesis
MET18	
MET2	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // superpathway of L-cysteine biosynthesis (fungi) // L-methionine biosynthesis III // L-homocysteine biosynthesis
MET22	
MET28	
MET3	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // assimilatory sulfate reduction I // sulfate activation for sulfonation
MET30	protein ubiquitination
MET31	
MET32	
MET4	
MET5	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // assimilatory sulfate reduction I
MET6	L-methionine biosynthesis III // <i>S</i>-adenosyl-L-methionine salvage II
MET7	folate polyglutamylation
MET8	siroheme biosynthesis
MEU1	<i>S</i>-methyl-5'-thioadenosine degradation II
MEX67	
MF(ALPHA)1	
MF(ALPHA)2	
MFA1	
MFA2	
MFB1	
MFG1	
MFM1	
MFT1	
MGA1	
MGA2	
MGE1	
MGL2	monoacylglycerol metabolism
MGM1	
MGM101	
MGP12	
MGR1	
MGR2	
MGR3	
MGS1	
MGT1	
MHF1	
MHF2	
MHO1	
MHP1	
MHR1	
MHT1	
MIA40	
MIC10	
MIC12	
MIC19	
MIC26	
MIC27	
MIC60	
MID1	
MID2	
MIF2	
MIG1	
MIG2	
MIG3	
MIH1	
MIL1	
MIM1	
MIM2	
MIN10	
MIN3	
MIN4	
MIN6	
MIN7	
MIN8	
MIN9	
MIP1	
MIP6	
MIR1	
MIS1	folate polyglutamylation // superpathway of tetrahydrofolate biosynthesis and salvage // folate interconversions // tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate // formate assimilation into 5,10-methylenetetrahydrofolate // folate transformations I
MIT1	
MIX14	
MIX17	
MIX23	
MKC7	
MKK1	
MKK2	
MKS1	
MKT1	
MLC1	
MLC2	
MLF3	
MLH1	
MLH2	
MLH3	
MLO1	
MLO127	
MLO50	
MLP1	
MLP2	
MLS1	glyoxylate cycle // chitin deacetylation
MME1	
MMF1	
MMM1	
MMO1	
MMP1	
MMR1	
MMS1	protein NEDDylation // protein ubiquitination
MMS2	protein ubiquitination
MMS21	
MMS22	protein ubiquitination
MMS4	
MMT1	
MMT2	
MNC1	
MND1	
MND2	protein ubiquitination
MNE1	
MNL1	
MNL2	
MNN1	protein <i>N</i>-glycosylation processing of proteins targeted for retention in cellular organelles (<i>cis-Golgi</i>, yeast) // protein <I>O</i>-mannosylation I (yeast) // protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
MNN10	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
MNN11	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
MNN14	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
MNN2	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
MNN4	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
MNN5	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
MNN6	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
MNN9	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast)
MNP1	
MNR2	
MNS1	protein <i>N</i>-glycosylation (yeast) processing in the ER
MNT2	protein <I>O</i>-mannosylation I (yeast)
MNT3	protein <I>O</i>-mannosylation I (yeast)
MNT4	
MOB1	
MOB2	
MOD5	
MOG1	
MOH1	
MON1	
MON2	
MOT1	
MOT2	
MOT3	
MPA43	
MPC1	
MPC2	
MPC3	
MPC54	
MPD1	
MPD2	
MPE1	
MPH1	
MPH2	
MPH3	
MPM1	
MPO1	
MPP10	
MPP6	
MPS1	
MPS2	
MPS3	
MPT5	
MRC1	
MRD1	
MRE11	
MRF1	
MRH1	
MRH4	
MRI1	methionine salvage pathway
MRK1	
MRL1	
MRM1	
MRM2	
MRN1	
MRP1	
MRP10	
MRP13	
MRP17	
MRP2	
MRP20	
MRP21	
MRP4	
MRP49	
MRP51	
MRP7	
MRP8	
MRPL1	
MRPL10	
MRPL11	
MRPL13	
MRPL15	
MRPL16	
MRPL17	
MRPL19	
MRPL20	
MRPL22	
MRPL23	
MRPL24	
MRPL25	
MRPL27	
MRPL28	
MRPL3	
MRPL31	
MRPL32	
MRPL33	
MRPL35	
MRPL36	
MRPL37	
MRPL38	
MRPL39	
MRPL4	
MRPL40	
MRPL44	
MRPL49	
MRPL50	
MRPL51	
MRPL6	
MRPL7	
MRPL8	
MRPL9	
MRPS12	
MRPS16	
MRPS17	
MRPS18	
MRPS28	
MRPS35	
MRPS5	
MRPS8	
MRPS9	
MRS1	
MRS2	
MRS3	
MRS4	
MRS6	
MRT4	
MRX1	
MRX10	
MRX11	
MRX12	
MRX14	
MRX15	
MRX16	
MRX3	
MRX4	
MRX5	
MRX6	
MRX7	
MRX8	
MRX9	
MSA1	
MSA2	
MSB1	
MSB2	
MSB3	
MSB4	
MSC1	
MSC2	
MSC3	
MSC6	
MSC7	
MSD1	tRNA charging
MSE1	tRNA charging
MSF1	tRNA charging
MSG5	
MSH1	
MSH2	
MSH3	
MSH4	
MSH5	
MSH6	
MSI1	
MSK1	tRNA charging
MSL1	
MSL5	
MSM1	tRNA charging
MSN1	
MSN2	
MSN4	
MSN5	
MSO1	
MSP1	
MSR1	tRNA charging
MSS1	tRNA-uridine 2-thiolation (yeast mitochondria)
MSS11	
MSS116	
MSS18	
MSS2	
MSS4	phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis // D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis
MSS51	
MST1	tRNA charging
MST27	
MST28	
MSW1	tRNA charging
MSY1	tRNA charging
MTC1	
MTC2	
MTC3	
MTC4	
MTC5	
MTC6	
MTC7	
MTD1	folate interconversions // folate transformations I
MTE1	
MTF1	
MTF2	
MTG1	
MTG2	
MTH1	
MTL1	
MTM1	
MTO1	tRNA-uridine 2-thiolation (yeast mitochondria)
MTQ1	
MTQ2	
MTR10	
MTR2	
MTR3	
MTR4	
MTW1	
MUB1	
MUD1	
MUD2	
MUK1	
MUM2	
MUM3	
MUP1	
MUP3	
MUS81	
MVB12	
MVD1	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis I // mevalonate pathway I
MVP1	
MXR1	
MXR2	
MYO1	
MYO2	
MYO3	
MYO4	
MYO5	
MZM1	
NAB2	
NAB3	
NAB6	
NAF1	
NAG1	
NAM2	tRNA charging
NAM7	
NAM8	
NAM9	
NAN1	
NAP1	
NAR1	
NAS2	
NAS6	
NAT1	Ac/N-end rule pathway
NAT2	Ac/N-end rule pathway
NAT3	Ac/N-end rule pathway
NAT4	
NAT5	Ac/N-end rule pathway
NBA1	
NBL1	
NBP1	
NBP2	
NBP35	
NCA2	
NCA3	
NCB2	
NCE101	
NCE102	
NCE103	
NCL1	tRNA methylation
NCP1	
NCR1	
NCS2	
NCS6	tRNA-uridine 2-thiolation (cytoplasmic)
NCW1	
NCW2	
NDC1	
NDC80	
NDD1	
NDE1	NAD/NADP-NADH/NADPH mitochondrial interconversion
NDE2	NAD/NADP-NADH/NADPH mitochondrial interconversion
NDI1	NAD/NADP-NADH/NADPH mitochondrial interconversion // aerobic respiration I (cytochrome c)
NDJ1	
NDL1	
NDT80	
NEJ1	
NEL1	
NEM1	
NEO1	
NET1	
NEW1	
NFI1	
NFS1	tRNA-uridine 2-thiolation (yeast mitochondria) // L-alanine biosynthesis III // tRNA-uridine 2-thiolation (cytoplasmic) // iron-sulfur cluster biosynthesis
NFT1	
NFU1	
NGG1	
NGL1	
NGL2	
NGL3	
NGR1	
NHA1	
NHP10	
NHP2	
NHP6A	
NHP6B	
NHX1	
NIC96	
NIF3	
NIP1	
NIP100	
NIP7	
NIS1	
NIT1	indole-3-acetate biosynthesis V (bacteria and fungi)
NIT2	indole-3-acetate biosynthesis V (bacteria and fungi)
NIT3	indole-3-acetate biosynthesis V (bacteria and fungi)
NKP1	
NKP2	
NMA1	NAD <i>de novo</i> biosynthesis II (from tryptophan) // NAD salvage pathway V (PNC V cycle) // NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde // NAD salvage pathway IV (from nicotinamide riboside)
NMA111	
NMA2	NAD salvage pathway IV (from nicotinamide riboside) // NAD <i>de novo</i> biosynthesis II (from tryptophan) // NAD salvage pathway V (PNC V cycle) // NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
NMD2	
NMD3	
NMD4	
NMD5	
NME1	
NMT1	
NNF1	
NNF2	
NNK1	
NNR1	NADH repair
NNR2	NADH repair
NNT1	
NOB1	
NOC2	
NOC3	
NOC4	
NOG1	
NOG2	
NOP1	
NOP10	
NOP12	
NOP13	
NOP14	
NOP15	
NOP16	
NOP19	
NOP2	
NOP4	
NOP53	
NOP56	
NOP58	
NOP6	
NOP7	
NOP8	
NOP9	
NOT3	
NOT5	
NPA3	
NPC2	
NPL3	
NPL4	
NPL6	
NPP1	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
NPP2	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
NPR1	
NPR2	
NPR3	
NPT1	NAD salvage pathway V (PNC V cycle)
NPY1	periplasmic NAD degradation
NQM1	pentose phosphate pathway // pentose phosphate pathway (non-oxidative branch)
NRD1	
NRE1	
NRG1	
NRG2	
NRK1	nicotinate riboside salvage pathway I // NAD salvage pathway IV (from nicotinamide riboside)
NRM1	
NRP1	
NRT1	
NSA1	
NSA2	
NSE1	
NSE3	
NSE4	
NSE5	
NSG1	
NSG2	
NSI1	
NSL1	
NSP1	
NSR1	
NST1	
NTA1	
NTC20	
NTE1	phospholipid remodeling (phosphatidylethanolamine) // phosphatidylcholine resynthesis via glycerophosphocholine
NTF2	
NTG1	
NTG2	
NTH1	chitin biosynthesis // trehalose degradation II (cytosolic)
NTH2	chitin biosynthesis // trehalose degradation II (cytosolic)
NTO1	
NTR2	
NTS1-2	
NTS2-1	
NTS2-2	
NUC1	
NUD1	
NUF2	
NUG1	
NUM1	
NUP1	
NUP100	
NUP116	
NUP120	
NUP133	
NUP145	
NUP157	
NUP159	
NUP170	
NUP188	
NUP192	
NUP2	
NUP42	
NUP49	
NUP53	
NUP57	
NUP60	
NUP82	
NUP84	
NUP85	
NUR1	
NUS1	dolichol and dolichyl phosphate biosynthesis
NUT1	
NUT2	
NVJ1	
NVJ2	
NVJ3	
NYV1	
OAC1	
OAF1	
OAF3	
OAR1	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)
OAZ1	
OCA1	
OCA2	
OCA4	
OCA5	
OCA6	
OCH1	protein <i>N</i>-glycosylation processing of mannoproteins (<i>cis-Golgi</i>, yeast) // protein <i>N</i>-glycosylation processing of proteins targeted for retention in cellular organelles (<i>cis-Golgi</i>, yeast)
OCT1	
ODC1	
ODC2	
OGG1	
OKP1	
OLA1	
OLE1	oleate biosynthesis // palmitoleate biosynthesis
OLI1	
OM14	
OM45	
OMA1	
OMS1	
OPI1	
OPI10	
OPI3	phosphatidylcholine biosynthesis V
OPT1	
OPT2	
OPY1	
OPY2	
ORC1	
ORC2	
ORC3	
ORC4	
ORC5	protein ubiquitination
ORC6	
ORM1	sphingolipid biosynthesis (yeast)
ORM2	sphingolipid biosynthesis (yeast)
ORT1	
OSH2	
OSH3	
OSH6	
OSH7	
OSM1	
OST1	protein <i>N</i>-glycosylation (eukaryotic) initial steps
OST2	protein <i>N</i>-glycosylation (eukaryotic) initial steps
OST3	protein <i>N</i>-glycosylation (eukaryotic) initial steps
OST4	protein <i>N</i>-glycosylation (eukaryotic) initial steps
OST5	protein <i>N</i>-glycosylation (eukaryotic) initial steps
OST6	protein <i>N</i>-glycosylation (eukaryotic) initial steps
OSW1	
OSW2	
OSW7	
OTU1	
OTU2	
OXA1	
OXP1	&gamma;-glutamyl cycle // 5-oxo-L-proline metabolism
OXR1	
OYE2	
OYE3	
PAA1	
PAB1	
PAC1	
PAC10	
PAC11	
PAC2	
PAD1	prenylated FMNH<sub>2</sub> biosynthesis
PAF1	
PAH1	triacylglycerol biosynthesis
PAI3	
PAL1	
PAL2	
PAM1	
PAM16	
PAM17	
PAM18	
PAN1	
PAN2	
PAN3	
PAN5	phosphopantothenate biosynthesis I
PAN6	phosphopantothenate biosynthesis I
PAP1	
PAP2	
PAR32	
PAT1	
PAU1	
PAU10	
PAU11	
PAU12	
PAU13	
PAU14	
PAU15	
PAU16	
PAU17	
PAU18	
PAU19	
PAU2	
PAU20	
PAU21	
PAU22	
PAU23	
PAU24	
PAU3	
PAU4	
PAU5	
PAU6	
PAU7	
PAU8	
PAU9	
PBA1	
PBI1	
PBI2	
PBN1	
PBP1	
PBP2	
PBP4	
PBR1	
PBS2	
PBY1	
PCA1	
PCC1	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
PCD1	8-oxo-(d)GTP detoxification I
PCF11	
PCH2	
PCI8	
PCK1	gluconeogenesis
PCL1	
PCL10	
PCL2	
PCL5	
PCL6	
PCL7	
PCL8	
PCL9	
PCM1	chitin biosynthesis // UDP-N-acetylglucosamine biosynthesis // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II
PCP1	
PCS60	oxalate degradation VI
PCT1	phosphatidylcholine biosynthesis I // choline biosynthesis III
PDA1	pyruvate decarboxylation to acetyl CoA
PDB1	pyruvate decarboxylation to acetyl CoA
PDC1	L-phenylalanine degradation II (anaerobic) // L-phenylalanine degradation III // tyrosine degradation // acetoin biosynthesis III // pyruvate fermentation to acetate VIII // pyruvate fermentation to ethanol II // tryptophan degradation VIII (to tryptophol) // valine degradation // isoleucine degradation II
PDC2	
PDC5	acetoin biosynthesis III // pyruvate fermentation to acetate VIII // pyruvate fermentation to ethanol II // L-phenylalanine degradation II (anaerobic) // L-phenylalanine degradation III // tryptophan degradation VIII (to tryptophol) // valine degradation // isoleucine degradation II
PDC6	tyrosine degradation // acetoin biosynthesis III // pyruvate fermentation to acetate VIII // pyruvate fermentation to ethanol II // L-phenylalanine degradation II (anaerobic) // L-phenylalanine degradation III // tryptophan degradation VIII (to tryptophol) // valine degradation // isoleucine degradation II
PDE1	
PDE2	
PDH1	
PDI1	
PDL32	tRNA splicing
PDP3	
PDR1	
PDR10	
PDR11	
PDR12	
PDR15	
PDR16	
PDR17	
PDR18	
PDR3	
PDR5	
PDR8	
PDS1	
PDS5	
PDX1	
PDX3	pyridoxal 5'-phosphate salvage I // 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis
PEA2	
PEF1	
PEP1	
PEP12	
PEP3	
PEP4	
PEP5	
PEP7	
PEP8	
PER1	
PER33	
PES4	
PET100	
PET111	
PET112	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
PET117	
PET122	
PET123	
PET127	
PET130	
PET18	
PET191	
PET20	
PET309	
PET494	
PET54	
PET8	
PET9	
PEX1	
PEX10	
PEX11	
PEX12	
PEX13	
PEX14	
PEX15	
PEX17	
PEX18	
PEX19	
PEX2	
PEX21	
PEX22	
PEX25	
PEX27	
PEX28	
PEX29	
PEX3	
PEX30	
PEX31	
PEX32	
PEX34	
PEX35	
PEX4	protein ubiquitination
PEX5	
PEX6	
PEX7	
PEX8	
PEX9	
PFA3	
PFA4	
PFA5	
PFD1	
PFF1	
PFK1	glycolysis // glycolysis III (from glucose)
PFK2	glycolysis // glycolysis III (from glucose)
PFK26	fructose 2,6-bisphosphate biosynthesis
PFK27	fructose 2,6-bisphosphate biosynthesis
PFS1	
PFS2	
PFY1	
PGA1	
PGA2	
PGA3	
PGC1	phosphatidylglycerol degradation // glycerophosphodiester degradation
PGD1	
PGI1	chitin biosynthesis // gluconeogenesis // glycolysis // sucrose degradation III // GDP-mannose biosynthesis // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II // glycolysis III (from glucose)
PGK1	gluconeogenesis // glycolysis // glycolysis III (from glucose)
PGM1	dolichyl glucosyl phosphate biosynthesis // D-galactose degradation V (Leloir pathway) // UDP-&alpha;-D-glucose biosynthesis I // glycogen degradation II // chitin biosynthesis
PGM2	dolichyl glucosyl phosphate biosynthesis // D-galactose degradation V (Leloir pathway) // UDP-&alpha;-D-glucose biosynthesis I // glycogen degradation II // chitin biosynthesis
PGS1	cardiolipin biosynthesis // phosphatidylglycerol biosynthesis II (non-plastidic)
PGU1	
PHA2	L-phenylalanine biosynthesis I
PHB1	
PHB2	
PHD1	
PHM6	
PHM7	
PHM8	UTP and CTP dephosphorylation I
PHO11	phosphate acquisition
PHO12	thiamin salvage IV // thiamine diphosphate biosynthesis IV (eukaryotes) // phosphate acquisition
PHO13	
PHO2	
PHO23	
PHO3	thiamin salvage IV // thiamine diphosphate biosynthesis IV (eukaryotes) // phosphate acquisition
PHO4	
PHO5	thiamin salvage IV // thiamine diphosphate biosynthesis IV (eukaryotes) // phosphate acquisition
PHO8	<i>all-trans</i>-farnesol biosynthesis
PHO80	
PHO81	
PHO84	
PHO85	
PHO86	
PHO87	arsenic detoxification (yeast)
PHO89	
PHO90	
PHO91	
PHO92	
PHR1	
PHS1	very long chain fatty acid biosynthesis
PIB1	
PIB2	
PIC2	
PIF1	
PIG1	
PIG2	
PIH1	
PIK1	D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis // phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
PIL1	
PIM1	
PIN2	
PIN3	
PIN4	
PIP2	
PIR1	
PIR3	
PIR5	
